boekingsBedrag,financieleBoekingsDatum,grootBoekRekening,kostenPlaats
138750.00,31/01/2024,4100,WLZ-KP-001
52100.50,31/01/2024,4110,WLZ-KP-001
11234.75,31/01/2024,4200,WLZ-KP-002
4500.00,31/01/2024,4300,WLZ-KP-001
61200.00,29/02/2024,8110,WLZ-KP-002
14300.25,29/02/2024,8120,WLZ-KP-003
9800.00,29/02/2024,4100,WLZ-KP-001
-3200.00,29/02/2024,4100,WLZ-KP-001
72340.00,31/03/2024,4100,WLZ-KP-001
17500.00,31/03/2024,8200,WLZ-KP-004
0.00,31/03/2024,4400,WLZ-KP-001
,28/02/2024,4100,WLZ-KP-001
138750.00,,4100,WLZ-KP-001
138750.00,28/02/2024,,WLZ-KP-001
138750.00,28/02/2024,4100,
FOUT,28/02/2024,4100,WLZ-KP-001
