grootboekRekeningNummer,grootboekRekeningOmschrijving,startDatum,eindDatum
4100,Personeelskosten directe zorg,01/01/2024,
4110,Personeelskosten indirecte zorg,01/01/2024,
4200,Materiaalkosten cliëntgebonden,01/01/2024,
4300,Huisvesting en facilitair,01/01/2024,
4400,Overige bedrijfskosten,01/01/2024,
8100,WLZ Intramurale zorg (vervallen),01/01/2020,31/12/2022
8110,WLZ Volledig Pakket Thuis,01/01/2023,
8120,WLZ Modulair Pakket Thuis,01/01/2023,
8130,WLZ Persoonsgebonden Budget,01/01/2023,
8200,WLZ Behandeling,01/01/2023,
9000,Overhead en algemeen beheer,01/01/2024,
,Rekeningnummer ontbreekt,01/01/2024,
4999,,01/01/2024,
