boekingsBedrag,financieleBoekingsDatum,grootBoekRekening,kostenPlaats
125430.50,31/01/2024,4100,KP-WLZ-INTRA-01
48200.00,31/01/2024,4110,KP-WLZ-INTRA-01
9876.25,31/01/2024,4200,KP-WLZ-VPT-02
3210.00,31/01/2024,4300,KP-WLZ-INTRA-01
55000.00,29/02/2024,8110,KP-WLZ-VPT-02
12500.75,29/02/2024,8120,KP-WLZ-MPT-03
8900.00,29/02/2024,4100,KP-WLZ-INTRA-01
-2500.00,29/02/2024,4100,KP-WLZ-INTRA-01
67890.00,31/03/2024,4100,KP-WLZ-INTRA-01
15000.00,31/03/2024,8200,KP-WLZ-BEH-04
,31/03/2024,4100,KP-WLZ-INTRA-01
125430.50,,4100,KP-WLZ-INTRA-01
125430.50,31/03/2024,,KP-WLZ-INTRA-01
125430.50,31/03/2024,4100,
GEEN_GETAL,31/03/2024,4100,KP-WLZ-INTRA-01
