contract_id,medewerker_id,status,fte,einddatum
300001,100001,actief,0.99,
300002,100002,actief,0.42,
300003,100003,actief,0.61,
300004,100004,beeindigd,0.6,
300005,100005,actief,0.66,
300006,100006,actief,0.94,
300007,100007,actief,0.7,
300008,100008,beeindigd,0.56,2029-06-16
300009,100009,actief,0.66,
300010,100010,actief,0.73,
300011,100011,actief,0.6,
300012,100012,actief,0.76,
300013,100013,beeindigd,0.67,
300014,100014,beeindigd,0.92,
300015,100015,actief,0.56,
300016,100016,actief,0.45,
300017,100017,actief,0.71,
300018,100018,actief,0.97,
300019,100019,beeindigd,0.81,
300020,100020,actief,0.44,
300021,100021,actief,0.62,
300022,100022,actief,0.76,
300023,100023,actief,0.62,
300024,100024,beeindigd,0.48,
300025,100025,actief,0.79,
300026,100026,actief,0.42,
300027,100027,beeindigd,0.63,
300028,100028,actief,0.86,
300029,100029,actief,1.0,
300030,100030,actief,0.52,
300031,100031,actief,0.67,
300032,100032,actief,1.0,
300033,100033,actief,0.8,
300034,100034,beeindigd,0.73,
300035,100035,actief,0.83,
300036,100036,beeindigd,0.5,
300037,100037,actief,0.47,
300038,100038,actief,0.54,
300039,100039,actief,0.73,
300040,100040,beeindigd,0.48,
