grootBoekRekening,boekingsBedrag,boekingsDatum,kostenPlaats
4012,6699.6,09-02-2024,KP07
4008,17425.47,01-12-2024,KP04
4007,1582.65,24-03-2025,KP08
4000,6665.72,29-07-2024,KP07
4011,-48.66,20-02-2025,KP03
4009,11023.71,06-05-2025,KP01
4001,14282.49,26-01-2026,KP08
4002,-3491.46,21-05-2025,KP06
4003,8640.98,03-07-2025,KP07
4004,17560.29,13-02-2024,KP07
4004,20047.33,17-02-2025,KP01
4011,11182.57,20-06-2025,KP04
4010,-2941.45,15-08-2024,KP01
4012,-4069.1,03-10-2025,KP04
4013,-4388.6,08-01-2026,KP04
4002,9206.83,16-02-2026,KP04
4007,15983.95,19-04-2024,KP06
4002,13176.78,09-05-2024,KP02
4012,19579.04,30-07-2025,KP02
4009,-4229.65,29-07-2025,KP07
4006,23244.12,22-11-2025,KP02
4009,15718.43,09-09-2024,KP04
4001,15915.79,09-08-2025,KP02
4012,24515.33,03-04-2024,KP01
4005,10982.36,05-08-2024,KP06
4001,10178.82,29-06-2025,KP01
4013,7601.76,28-01-2025,KP02
4006,23823.63,01-09-2024,KP08
4011,-410.27,15-12-2025,KP05
4009,19245.98,09-12-2024,KP08
4007,8067.23,26-05-2024,KP05
4005,20551.39,14-02-2024,KP02
4004,21448.94,07-10-2025,KP08
4009,13309.95,21-05-2025,KP06
4000,9829.2,16-07-2025,KP03
4007,1363.6,19-03-2024,KP05
4005,3389.75,11-10-2024,KP05
4008,-4695.47,30-11-2025,KP02
4003,16602.24,29-01-2025,KP04
4011,9282.79,15-06-2024,KP08
4007,18787.99,10-03-2026,KP05
4003,7132.03,07-10-2025,KP05
4010,12446.67,14-02-2025,KP06
4006,24898.94,27-11-2024,KP06
4005,16085.65,09-09-2025,KP05
4004,1916.14,05-06-2024,KP04
4005,-1413.36,12-12-2024,KP03
4003,1491.54,03-02-2025,KP05
4011,12687.61,26-04-2024,KP05
4001,19978.85,14-08-2025,KP04
4005,383.25,30-05-2026,KP03
4004,-3634.53,19-04-2026,KP05
4011,23322.69,29-08-2024,KP08
4001,21181.59,03-11-2024,KP05
4007,9361.43,30-06-2025,KP03
4000,2574.35,09-02-2025,KP02
4013,-3039.7,26-01-2025,KP02
4009,13883.37,20-04-2026,KP03
4002,19334.26,06-08-2025,KP02
4003,-1446.45,22-04-2024,KP07
4009,12883.81,18-09-2024,KP04
4012,10677.18,09-03-2025,KP08
4004,20805.0,31-03-2025,KP05
4009,13630.82,27-09-2024,KP02
4012,1233.64,09-11-2025,KP05
4010,-2564.38,11-10-2025,KP03
4008,-2748.05,11-06-2026,KP07
4007,15681.13,17-02-2025,KP05
4000,1944.29,20-06-2024,KP05
4011,20788.2,02-04-2026,KP04
4014,2936.64,25-03-2024,KP04
4006,-1556.71,26-10-2025,KP03
4014,2968.97,19-01-2026,KP02
4000,-22.32,03-08-2025,KP05
4007,-1269.39,08-07-2024,KP05
4011,7075.26,08-09-2025,KP08
4007,-2586.74,04-05-2026,KP07
4011,4669.65,30-09-2025,KP01
4001,1867.73,23-07-2024,KP01
4012,15168.45,11-09-2025,KP01
4012,17688.06,17-02-2025,KP08
4014,3344.7,22-10-2024,KP07
4010,19427.35,12-03-2026,KP08
4005,7250.44,20-07-2025,KP02
4013,-175.25,18-04-2025,KP08
4004,14877.51,29-04-2025,KP01
4007,-2358.21,28-09-2025,KP06
4001,24105.54,26-04-2025,KP01
4010,21081.02,25-02-2025,KP07
4000,627.48,08-06-2025,KP08
