FunctionId,FunctionDesc,FunctionType
F100,Teamleider,Zorg
F101,Verpleegkundige,Zorg
F102,Activiteitenbegeleider,Zorg
F103,Woonbegeleider,Zorg
F104,Verzorgende IG,Zorg
F105,Activiteitenbegeleider,Zorg
F106,Teamleider,Zorg
F107,Helpende,Zorg
F108,Teamleider,Zorg
F109,Kwaliteitsmedewerker,Zorg
F110,Verpleegkundige,Zorg
F111,Teamleider,Zorg
F112,Zorgassistent,Zorg
F113,Activiteitenbegeleider,Zorg
F114,Kwaliteitsmedewerker,Zorg
F115,Verpleegkundige,Zorg
F116,Teamleider,Zorg
F117,Verpleegkundige,Zorg
F118,Kwaliteitsmedewerker,Zorg
F119,Woonbegeleider,Zorg
F120,Verpleegkundige,Zorg
F121,Woonbegeleider,Zorg
F122,Teamleider,Zorg
F123,Kwaliteitsmedewerker,Zorg
F124,Verzorgende IG,Zorg
F125,Teamleider,Zorg
F126,Kwaliteitsmedewerker,Zorg
F127,Zorgassistent,Zorg
F128,Woonbegeleider,Zorg
F129,Teamleider,Zorg
F130,Activiteitenbegeleider,Zorg
F131,Zorgassistent,Zorg
F132,Verpleegkundige,Zorg
F133,Activiteitenbegeleider,Zorg
F134,Activiteitenbegeleider,Zorg
F135,Teamleider,Zorg
F136,Verpleegkundige,Zorg
F137,Teamleider,Zorg
F138,Teamleider,Zorg
F139,Verzorgende IG,Zorg
