medewerker_id,contract_status,dienstverband_fte,contract_einddatum
100001,actief,0.76,
100002,actief,0.9,
100003,actief,0.83,2029-02-13
100004,actief,0.98,
100005,uit dienst,0.54,
100006,uit dienst,0.94,
100007,uit dienst,0.68,
100008,uit dienst,0.7,
100009,actief,0.89,
100010,actief,0.92,2029-10-09
100011,actief,0.73,
100012,actief,0.57,
100013,actief,0.67,
100014,uit dienst,0.46,
100015,uit dienst,0.93,
100016,uit dienst,0.43,
100017,actief,0.63,2028-05-02
100018,actief,0.59,2028-12-15
100019,actief,0.48,
100020,uit dienst,0.82,
100021,uit dienst,0.67,2027-07-10
100022,actief,0.55,
100023,uit dienst,0.47,
100024,actief,0.47,
100025,uit dienst,0.44,
100026,uit dienst,0.76,2029-12-19
100027,actief,0.83,
100028,actief,0.77,
100029,uit dienst,0.51,
100030,actief,0.44,
100031,actief,0.63,
100032,uit dienst,0.99,
100033,actief,0.61,2028-06-05
100034,actief,0.86,
100035,actief,0.48,
100036,actief,0.89,
100037,uit dienst,0.99,
100038,actief,0.89,2029-08-23
100039,actief,0.58,2028-03-12
100040,actief,0.59,
