employeeNumber,beginDateTime,absenceType,expectedEndDateTime
MW100017,2024-11-14,ziekte,2024-11-21
MW100014,2026-01-29,ziekte,2026-03-29
MW100021,2026-01-03,ongeval,
MW100016,2024-09-25,ziekte,2024-11-08
MW100040,2024-11-23,ziekte,2025-01-07
MW100026,2026-02-24,ongeval,
MW100009,2025-08-29,ziekte,
MW100020,2025-11-17,ongeval,2025-12-30
MW100030,2024-01-29,ziekte,2024-02-06
MW100011,2026-04-29,ongeval,2026-05-23
MW100032,2025-12-30,ongeval,2026-01-30
MW100025,2026-06-04,ziekte,2026-06-11
MW100003,2024-02-10,ziekte,2024-03-21
MW100001,2026-05-02,ziekte,2026-05-28
