DienstverbandNummer,PersoneelsNummer,OvereenkomstType,StartDatum,EindDatum,Contractomvang
200001,100001,Arbeidsovereenkomst,06-10-2025,21-07-2028,0.86
200002,100002,Arbeidsovereenkomst,21-07-2024,,0.78
200003,100003,Arbeidsovereenkomst,12-05-2026,,0.52
200004,100004,Arbeidsovereenkomst,18-10-2025,,0.97
200005,100005,Arbeidsovereenkomst,16-11-2024,08-06-2030,0.69
200006,100006,Arbeidsovereenkomst,31-10-2025,,0.99
200007,100007,Arbeidsovereenkomst,07-03-2024,,0.54
200008,100008,Arbeidsovereenkomst,29-06-2024,,0.84
200009,100009,Arbeidsovereenkomst,05-01-2026,15-12-2024,0.48
200010,100010,Arbeidsovereenkomst,01-03-2026,26-12-2025,0.72
200011,100011,Arbeidsovereenkomst,11-06-2025,08-12-2024,0.84
200012,100012,Arbeidsovereenkomst,09-03-2024,,1.0
200013,100013,Arbeidsovereenkomst,11-12-2024,,0.71
200014,100014,Arbeidsovereenkomst,25-03-2026,,0.6
200015,100015,Arbeidsovereenkomst,30-10-2024,,0.53
200016,100016,Arbeidsovereenkomst,28-04-2026,,0.54
200017,100017,Arbeidsovereenkomst,24-03-2026,23-06-2027,0.54
200018,100018,Arbeidsovereenkomst,20-05-2025,,0.48
200019,100019,Arbeidsovereenkomst,29-12-2025,,0.68
200020,100020,Arbeidsovereenkomst,27-07-2024,22-02-2028,0.46
200021,100021,Arbeidsovereenkomst,28-09-2024,,0.68
200022,100022,Arbeidsovereenkomst,28-12-2025,,0.99
200023,100023,Arbeidsovereenkomst,27-08-2024,,0.6
200024,100024,Arbeidsovereenkomst,01-02-2024,,0.51
200025,100025,Arbeidsovereenkomst,11-03-2024,,0.57
200026,100026,Arbeidsovereenkomst,07-04-2026,17-03-2025,0.92
200027,100027,Arbeidsovereenkomst,08-11-2025,,1.0
200028,100028,Arbeidsovereenkomst,18-01-2026,03-05-2024,0.54
200029,100029,Arbeidsovereenkomst,12-05-2024,,0.92
200030,100030,Arbeidsovereenkomst,10-05-2024,,0.4
200031,100031,Arbeidsovereenkomst,08-06-2025,01-04-2024,0.57
200032,100032,Arbeidsovereenkomst,12-03-2026,,0.87
200033,100033,Arbeidsovereenkomst,08-01-2026,,0.51
200034,100034,Arbeidsovereenkomst,11-10-2024,,0.84
200035,100035,Arbeidsovereenkomst,11-10-2024,,0.43
200036,100036,Arbeidsovereenkomst,24-11-2024,20-01-2030,0.43
200037,100037,Arbeidsovereenkomst,15-07-2024,18-06-2027,0.44
200038,100038,Arbeidsovereenkomst,17-04-2024,,0.96
200039,100039,Arbeidsovereenkomst,25-03-2025,,0.42
200040,100040,Arbeidsovereenkomst,04-06-2024,,0.74
