objectId,employeeId,contractType,startDate,endDate,fte
WO200001,MW100001,bepaalde tijd,2025-10-06,2029-11-19,0.7
WO200002,MW100002,onbepaalde tijd,2024-07-21,,0.91
WO200003,MW100003,onbepaalde tijd,2026-05-12,,0.62
WO200004,MW100004,onbepaalde tijd,2025-10-18,,0.95
WO200005,MW100005,bepaalde tijd,2024-11-16,2028-11-22,0.47
WO200006,MW100006,onbepaalde tijd,2025-10-31,,0.88
WO200007,MW100007,onbepaalde tijd,2024-03-07,,0.74
WO200008,MW100008,onbepaalde tijd,2024-06-29,,0.89
WO200009,MW100009,bepaalde tijd,2026-01-05,2024-04-20,0.8
WO200010,MW100010,bepaalde tijd,2026-03-01,2025-09-15,0.76
WO200011,MW100011,bepaalde tijd,2025-06-11,2024-05-01,0.52
WO200012,MW100012,onbepaalde tijd,2024-03-09,,0.79
WO200013,MW100013,onbepaalde tijd,2024-12-11,,0.47
WO200014,MW100014,onbepaalde tijd,2026-03-25,,0.75
WO200015,MW100015,onbepaalde tijd,2024-10-30,,0.44
WO200016,MW100016,onbepaalde tijd,2026-04-28,,0.94
WO200017,MW100017,bepaalde tijd,2026-03-24,2029-12-16,0.8
WO200018,MW100018,onbepaalde tijd,2025-05-20,,0.96
WO200019,MW100019,onbepaalde tijd,2025-12-29,,0.87
WO200020,MW100020,bepaalde tijd,2024-07-27,2027-08-10,0.66
WO200021,MW100021,onbepaalde tijd,2024-09-28,,0.84
WO200022,MW100022,onbepaalde tijd,2025-12-28,,0.46
WO200023,MW100023,onbepaalde tijd,2024-08-27,,0.92
WO200024,MW100024,onbepaalde tijd,2024-02-01,,0.67
WO200025,MW100025,onbepaalde tijd,2024-03-11,,0.55
WO200026,MW100026,bepaalde tijd,2026-04-07,2024-03-08,0.73
WO200027,MW100027,onbepaalde tijd,2025-11-08,,0.9
WO200028,MW100028,bepaalde tijd,2026-01-18,2024-01-26,0.64
WO200029,MW100029,onbepaalde tijd,2024-05-12,,0.94
WO200030,MW100030,onbepaalde tijd,2024-05-10,,0.63
WO200031,MW100031,bepaalde tijd,2025-06-08,2025-03-05,0.82
WO200032,MW100032,onbepaalde tijd,2026-03-12,,0.8
WO200033,MW100033,onbepaalde tijd,2026-01-08,,0.53
WO200034,MW100034,onbepaalde tijd,2024-10-11,,0.44
WO200035,MW100035,onbepaalde tijd,2024-10-11,,0.69
WO200036,MW100036,bepaalde tijd,2024-11-24,2027-12-17,0.7
WO200037,MW100037,bepaalde tijd,2024-07-15,2030-05-31,0.92
WO200038,MW100038,onbepaalde tijd,2024-04-17,,0.74
WO200039,MW100039,onbepaalde tijd,2025-03-25,,0.45
WO200040,MW100040,onbepaalde tijd,2024-06-04,,0.59
